0x00402ea0    2 92           entry0
0x00402f00    4 52           sym.deregister_tm_clones
0x00402f34    4 76           sym.register_tm_clones
0x00402f80    3 56           sym.__do_global_dtors_aux
0x00402fb8    1 8            entry.init0
0x00403fac   23 748          dbg.server_handle_request
0x00403678    1 112          dbg.is_valid_endpoint
0x0040378c   35 908          dbg.methods_from_endpoint
0x00404480   12 356          dbg._parse_config_section_key_value
0x004045e4   40 1468         dbg._parse_config_section
0x00404ba0   41 1464         dbg._parse_config_files
0x00405158    4 96           dbg._section_dict_free_func
0x00406b10    6 156          dbg.log_lock
0x00406e48   18 792          dbg.log_delete_old_backups
0x004071e8   11 508          dbg.log_backup_file
0x004074a0    1 116          dbg.signal_handler
0x00466630   13 488          sym.log_log
0x004090d0    4 104          dbg.server_stop
0x00407adc   82 3108 -> 2356 dbg.parse_argv
0x0040ac14    7 180          dbg.server_parse_config
0x0040acc8   23 1456 -> 1356 dbg._handle_info_request
0x0040b278   12 372          dbg._handle_config_request
0x0040b3ec    5 188          dbg._handle_restart_request
0x0040bd5c    1 100          dbg._handle_umount_request
0x0045e44c    5 168          dbg.start_thread
0x0045e11c    4 168          dbg.result_err
0x0040b4a8   46 1292         dbg._handle_identify_request
0x0040bdc0   11 248          dbg._handle_debug_request
0x0040beb8   11 408          dbg._handle_debug_status_request
0x0040a330    4 96           dbg.event_handler_list_free
0x0040a390   18 524          dbg.server_notify_clients
0x0040b9b4   25 836          dbg._handle_umount_task
0x0040bcf8    1 100          dbg._handle_umount_thread
0x00463308    1 88           dbg.web_request_send_result
0x004630e0   11 552          dbg.web_request_send_result_with_conn
0x0040c20c    4 124          dbg._handle_info
0x0040c288    4 124          dbg._handle_user
0x0040c304    4 124          dbg._handle_api_key
0x0040c380    4 124          dbg._handle_users_list
0x0040c3fc    4 124          dbg._handle_oneshot_token
0x0040daec  141 4796 -> 4736 dbg._init_sensors
0x0040d988   11 356          dbg._store_gcode_response
0x0040d6c0   27 712          dbg._store_gcode_command
0x0040c908   37 1380 -> 1268 dbg._handle_temp_store
0x0040ce6c   18 944  -> 832  dbg._handle_gcode_store
0x0040edf8    3 80           dbg.sensor_dict_free
0x004601f0    9 296          dbg.ordered_dict_free
0x0040d21c   40 1188         dbg._update_temp_store
0x0040eda8    3 80           dbg.sensor_value_queue_free
0x0045d954    7 328          dbg.circular_queue_free
0x00411a6c    5 156          dbg.database_handle_list
0x004108c4  131 4520         dbg.database_handle_item
0x00411b08    5 156          dbg.database_handle_backup
0x00411ba4    5 156          dbg.database_handle_restore
0x00411c40    5 156          dbg.database_handle_compact
0x00411cdc    5 156          dbg.database_debug_handle_list
0x00411d78    5 156          dbg.database_debug_handle_item
0x00411e14    5 156          dbg.database_debug_handle_table
0x0040fe18   15 396          dbg.create_parent_dirs
0x00411eb0   11 188          dbg.hex_char_to_int
0x00413998    7 192          dbg.is_directory
0x004140c0   15 456          dbg.server_get_file_path
0x00414288   23 768          dbg.server_get_path_from_config_name
0x00415670   25 1100         dbg.copy_file
0x00416d60   20 632          dbg.add_file_to_zip
0x00416fd8   28 1080         dbg.add_directory_contents_to_zip
0x00419f24    4 264          dbg.uploads_stutas_init
0x0041a02c   10 268          dbg.uploads_stutas_clean
0x0041a138    6 152          dbg.upload_close_tmp_file
