
Relocation section '.rel.dyn' at offset 0x2780 contains 4 entries:
 Offset     Info    Type            Sym.Value  Sym. Name
00000000  00000000 R_MIPS_NONE      
004b1cd0  0000527e R_MIPS_COPY       004b1cd0   stdout@GLIBC_2.0
004b1cd8  00009b7e R_MIPS_COPY       004b1cd8   optind@GLIBC_2.0
004b1ce0  0000ca7e R_MIPS_COPY       004b1ce0   optarg@GLIBC_2.0

Relocation section '.rel.plt' at offset 0x27a0 contains 215 entries:
 Offset     Info    Type            Sym.Value  Sym. Name
004b1560  0000017f R_MIPS_JUMP_SLOT  00000000   pthread_cond_signal@GLIBC_2.3.2
004b1564  0000027f R_MIPS_JUMP_SLOT  00000000   sqlite3_bind_int
004b1568  0000037f R_MIPS_JUMP_SLOT  00000000   waitpid@GLIBC_2.0
004b156c  0000047f R_MIPS_JUMP_SLOT  00000000   SHA256_Final@OPENSSL_1_1_0
004b1570  0000057f R_MIPS_JUMP_SLOT  00000000   open@GLIBC_2.0
004b1574  0000067f R_MIPS_JUMP_SLOT  00000000   pthread_mutex_destroy@GLIBC_2.0
004b1578  0000077f R_MIPS_JUMP_SLOT  00000000   png_get_bit_depth@PNG16_0
004b157c  0000087f R_MIPS_JUMP_SLOT  00000000   png_write_image@PNG16_0
004b1580  0000097f R_MIPS_JUMP_SLOT  00000000   strcat@GLIBC_2.0
004b1584  00000a7f R_MIPS_JUMP_SLOT  00000000   zip_discard
004b1588  00000b7f R_MIPS_JUMP_SLOT  00000000   fread@GLIBC_2.0
004b158c  00000c7f R_MIPS_JUMP_SLOT  00000000   png_create_read_struct@PNG16_0
004b1590  00000d7f R_MIPS_JUMP_SLOT  00000000   fileno@GLIBC_2.0
004b1594  00000e7f R_MIPS_JUMP_SLOT  00000000   zip_set_file_comp[...]
004b1598  00000f7f R_MIPS_JUMP_SLOT  00000000   fseeko@GLIBC_2.2
004b159c  0000107f R_MIPS_JUMP_SLOT  00000000   fork@GLIBC_2.0
004b15a0  0000117f R_MIPS_JUMP_SLOT  00000000   sqlite3_column_int
004b15a4  0000127f R_MIPS_JUMP_SLOT  00000000   socket@GLIBC_2.0
004b15a8  0000137f R_MIPS_JUMP_SLOT  00000000   png_get_rowbytes@PNG16_0
004b15ac  0000147f R_MIPS_JUMP_SLOT  00000000   strerror_r@GLIBC_2.0
004b15b0  0000157f R_MIPS_JUMP_SLOT  00000000   access@GLIBC_2.0
004b15b4  0000167f R_MIPS_JUMP_SLOT  00000000   pthread_rwlock_init@GLIBC_2.2
004b15b8  0000177f R_MIPS_JUMP_SLOT  00000000   mkdir@GLIBC_2.0
004b15bc  0000197f R_MIPS_JUMP_SLOT  00000000   sqlite3_bind_double
004b15c0  00001a7f R_MIPS_JUMP_SLOT  00000000   pthread_rwlock_rdlock@GLIBC_2.2
004b15c4  00001b7f R_MIPS_JUMP_SLOT  00000000   strstr@GLIBC_2.0
004b15c8  00001c7f R_MIPS_JUMP_SLOT  00000000   setsockopt@GLIBC_2.0
004b15cc  00001d7f R_MIPS_JUMP_SLOT  00000000   fopen@GLIBC_2.2
004b15d0  00001e7f R_MIPS_JUMP_SLOT  00000000   zip_source_free
004b15d4  00001f7f R_MIPS_JUMP_SLOT  00000000   png_read_image@PNG16_0
004b15d8  0000207f R_MIPS_JUMP_SLOT  00000000   sqlite3_column_type
004b15dc  0000217f R_MIPS_JUMP_SLOT  00000000   zip_source_file
004b15e0  0000227f R_MIPS_JUMP_SLOT  00000000   pthread_attr_destroy@GLIBC_2.0
004b15e4  0000237f R_MIPS_JUMP_SLOT  00000000   pthread_setname_np@GLIBC_2.12
004b15e8  0000257f R_MIPS_JUMP_SLOT  00000000   png_create_write_[...]@PNG16_0
004b15ec  0000267f R_MIPS_JUMP_SLOT  00000000   select@GLIBC_2.0
004b15f0  0000277f R_MIPS_JUMP_SLOT  004a0a20   strdup@GLIBC_2.0
004b15f4  0000287f R_MIPS_JUMP_SLOT  00000000   sqlite3_reset
004b15f8  0000297f R_MIPS_JUMP_SLOT  00000000   pthread_cancel@GLIBC_2.0
004b15fc  00002a7f R_MIPS_JUMP_SLOT  00000000   getopt_long@GLIBC_2.0
004b1600  00002b7f R_MIPS_JUMP_SLOT  00000000   get_nprocs@GLIBC_2.0
004b1604  00002c7f R_MIPS_JUMP_SLOT  00000000   sleep@GLIBC_2.0
004b1608  00002d7f R_MIPS_JUMP_SLOT  00000000   timer_gettime@GLIBC_2.2
004b160c  00002e7f R_MIPS_JUMP_SLOT  00000000   sqlite3_bind_null
004b1610  00002f7f R_MIPS_JUMP_SLOT  00000000   connect@GLIBC_2.0
004b1614  0000307f R_MIPS_JUMP_SLOT  00000000   calloc@GLIBC_2.0
004b1618  0000317f R_MIPS_JUMP_SLOT  00000000   strtof@GLIBC_2.0
004b161c  0000327f R_MIPS_JUMP_SLOT  00000000   clock_gettime@GLIBC_2.2
004b1620  0000337f R_MIPS_JUMP_SLOT  00000000   inotify_rm_watch@GLIBC_2.4
004b1624  0000347f R_MIPS_JUMP_SLOT  00000000   getpid@GLIBC_2.0
004b1628  0000357f R_MIPS_JUMP_SLOT  00000000   getuid@GLIBC_2.0
004b162c  0000367f R_MIPS_JUMP_SLOT  00000000   epoll_wait@GLIBC_2.3.2
004b1630  0000377f R_MIPS_JUMP_SLOT  00000000   strncat@GLIBC_2.0
004b1634  0000387f R_MIPS_JUMP_SLOT  00000000   fputc@GLIBC_2.0
004b1638  0000397f R_MIPS_JUMP_SLOT  00000000   fgets@GLIBC_2.0
004b163c  00003a7f R_MIPS_JUMP_SLOT  004a0b50   longjmp@GLIBC_2.0
004b1640  00003b7f R_MIPS_JUMP_SLOT  00000000   sqlite3_close
004b1644  00003c7f R_MIPS_JUMP_SLOT  00000000   fwrite@GLIBC_2.0
004b1648  00003d7f R_MIPS_JUMP_SLOT  00000000   memcpy@GLIBC_2.0
004b164c  00003e7f R_MIPS_JUMP_SLOT  00000000   inotify_add_watch@GLIBC_2.4
004b1650  00003f7f R_MIPS_JUMP_SLOT  00000000   write@GLIBC_2.0
004b1654  0000407f R_MIPS_JUMP_SLOT  004a0bb0   malloc@GLIBC_2.0
004b1658  0000417f R_MIPS_JUMP_SLOT  00000000   pthread_getname_np@GLIBC_2.12
004b165c  0000427f R_MIPS_JUMP_SLOT  00000000   sqlite3_last_inse[...]
004b1660  0000447f R_MIPS_JUMP_SLOT  00000000   strlen@GLIBC_2.0
004b1664  0000457f R_MIPS_JUMP_SLOT  00000000   png_destroy_read_[...]@PNG16_0
004b1668  0000467f R_MIPS_JUMP_SLOT  00000000   usleep@GLIBC_2.0
004b166c  0000477f R_MIPS_JUMP_SLOT  00000000   fprintf@GLIBC_2.0
004b1670  0000487f R_MIPS_JUMP_SLOT  00000000   accept@GLIBC_2.0
004b1674  0000497f R_MIPS_JUMP_SLOT  00000000   png_write_info@PNG16_0
004b1678  00004a7f R_MIPS_JUMP_SLOT  00000000   round@GLIBC_2.2
004b167c  00004b7f R_MIPS_JUMP_SLOT  00000000   atof@GLIBC_2.0
004b1680  00004c7f R_MIPS_JUMP_SLOT  00000000   pthread_rwlock_wrlock@GLIBC_2.2
004b1684  00004d7f R_MIPS_JUMP_SLOT  00000000   readdir@GLIBC_2.0
004b1688  00004e7f R_MIPS_JUMP_SLOT  00000000   sprintf@GLIBC_2.0
004b168c  00004f7f R_MIPS_JUMP_SLOT  00000000   pthread_rwlock_destroy@GLIBC_2.2
004b1690  0000507f R_MIPS_JUMP_SLOT  00000000   sqlite3_column_name
004b1694  0000517f R_MIPS_JUMP_SLOT  00000000   png_get_image_width@PNG16_0
004b1698  0000537f R_MIPS_JUMP_SLOT  00000000   _exit@GLIBC_2.0
004b169c  0000547f R_MIPS_JUMP_SLOT  004a0cd0   strcmp@GLIBC_2.0
004b16a0  0000557f R_MIPS_JUMP_SLOT  00000000   time@GLIBC_2.0
004b16a4  0000567f R_MIPS_JUMP_SLOT  00000000   memchr@GLIBC_2.0
004b16a8  0000577f R_MIPS_JUMP_SLOT  00000000   png_destroy_write[...]@PNG16_0
004b16ac  0000587f R_MIPS_JUMP_SLOT  00000000   strtok_r@GLIBC_2.0
004b16b0  0000597f R_MIPS_JUMP_SLOT  00000000   sqlite3_column_double
004b16b4  00005a7f R_MIPS_JUMP_SLOT  00000000   tolower@GLIBC_2.0
004b16b8  00005b7f R_MIPS_JUMP_SLOT  00000000   fsync@GLIBC_2.0
004b16bc  00005c7f R_MIPS_JUMP_SLOT  00000000   pclose@GLIBC_2.2
004b16c0  00005d7f R_MIPS_JUMP_SLOT  00000000   __errno_location@GLIBC_2.0
004b16c4  00005e7f R_MIPS_JUMP_SLOT  00000000   fclose@GLIBC_2.2
004b16c8  00005f7f R_MIPS_JUMP_SLOT  00000000   strncpy@GLIBC_2.0
004b16cc  0000607f R_MIPS_JUMP_SLOT  00000000   send@GLIBC_2.0
004b16d0  0000617f R_MIPS_JUMP_SLOT  00000000   uuid_generate@UUID_1.0
004b16d4  0000627f R_MIPS_JUMP_SLOT  00000000   fflush@GLIBC_2.0
004b16d8  0000637f R_MIPS_JUMP_SLOT  00000000   png_read_info@PNG16_0
004b16dc  0000647f R_MIPS_JUMP_SLOT  00000000   memcmp@GLIBC_2.0
004b16e0  0000657f R_MIPS_JUMP_SLOT  00000000   _setjmp@GLIBC_2.0
004b16e4  0000667f R_MIPS_JUMP_SLOT  00000000   __xpg_basename@GLIBC_2.0
004b16e8  0000677f R_MIPS_JUMP_SLOT  00000000   sqlite3_column_text
004b16ec  0000687f R_MIPS_JUMP_SLOT  00000000   fcntl@GLIBC_2.28
004b16f0  0000697f R_MIPS_JUMP_SLOT  00000000   strrchr@GLIBC_2.0
004b16f4  00006a7f R_MIPS_JUMP_SLOT  00000000   zip_file_add
004b16f8  00006c7f R_MIPS_JUMP_SLOT  00000000   getsockname@GLIBC_2.0
004b16fc  00006d7f R_MIPS_JUMP_SLOT  00000000   sqlite3_bind_text
004b1700  00006e7f R_MIPS_JUMP_SLOT  00000000   getline@GLIBC_2.0
004b1704  00006f7f R_MIPS_JUMP_SLOT  00000000   fseek@GLIBC_2.0
004b1708  0000707f R_MIPS_JUMP_SLOT  00000000   getenv@GLIBC_2.0
004b170c  0000717f R_MIPS_JUMP_SLOT  00000000   fputs@GLIBC_2.0
004b1710  0000727f R_MIPS_JUMP_SLOT  00000000   statvfs@GLIBC_2.2
004b1714  0000737f R_MIPS_JUMP_SLOT  00000000   strchr@GLIBC_2.0
