[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0008f4c0 0x0048f4c0 18  19   .rodata ascii   Invalid connection
1    0x0008f4d4 0x0048f4d4 126 127  .rodata ascii   /var/jenkins_home/workspace/IngenicX2600-security-build/integrated_platform/creality/output/build/nexusprime/src/application.c
2    0x0008f554 0x0048f554 42  43   .rodata ascii   Connection %lu exceeded max send/recv size
3    0x0008f580 0x0048f580 36  37   .rodata ascii   Listening connection %lu established
4    0x0008f5a8 0x0048f5a8 31  32   .rodata ascii   Websocket connection %lu closed
5    0x0008f5c8 0x0048f5c8 22  23   .rodata ascii   Server:Websocket_close
6    0x0008f5e0 0x0048f5e0 40  41   .rodata ascii   Server is not running, ignoring event %d
7    0x0008f60c 0x0048f60c 20  21   .rodata ascii   HTTP message is NULL
8    0x0008f624 0x0048f624 10  11   .rodata ascii   /websocket
9    0x0008f630 0x0048f630 36  37   .rodata ascii   Websocket connection %lu established
10   0x0008f658 0x0048f658 7   8    .rodata ascii   OPTIONS
11   0x0008f660 0x0048f660 195 196  .rodata ascii   Connection: keep-alive\r\nAccess-Control-Allow-Origin: *\r\nAccess-Control-Allow-Methods: *\r\nAccess-Control-Allow-Headers: *\r\nAccess-Control-Allow-Credentials: true\r\nAccess-Control-Max-Age: 1728000\r\n
12   0x0008f728 0x0048f728 57  58   .rodata ascii   content-type: text/json\r\nAccess-Control-Allow-Origin: *\r\n
13   0x0008f764 0x0048f764 25  26   .rodata ascii   WebSocket message is NULL
14   0x0008f780 0x0048f780 42  43   .rodata ascii   Received WebSocket client %ld message '%s'
15   0x0008f7ac 0x0048f7ac 43  44   .rodata ascii   Received HTTP client %ld request '%s' -> %s
16   0x0008f7d8 0x0048f7d8 25  26   .rodata ascii   Unknown transport type %d
17   0x0008f7f4 0x0048f7f4 7   8    .rodata ascii   printer
18   0x0008f7fc 0x0048f7fc 6   7    .rodata ascii   server
19   0x0008f804 0x0048f804 7   8    .rodata ascii   machine
20   0x0008f80c 0x0048f80c 6   7    .rodata ascii   access
21   0x0008f818 0x0048f818 5   6    .rodata ascii   debug
22   0x0008f820 0x0048f820 17  18   .rodata ascii   Invalid arguments
23   0x0008f838 0x0048f838 43  44   .rodata ascii   Failed to allocate memory for endpoint main
24   0x0008f864 0x0048f864 9   10   .rodata ascii   %s.get_%s
25   0x0008f870 0x0048f870 10  11   .rodata ascii   %s.post_%s
26   0x0008f87c 0x0048f87c 12  13   .rodata ascii   %s.delete_%s
27   0x0008f88c 0x0048f88c 19  20   .rodata ascii   Invalid endpoint %s
28   0x0008f8a0 0x0048f8a0 28  29   .rodata ascii   Failed to create method list
29   0x0008f8c0 0x0048f8c0 28  29   .rodata ascii   Method %s already registered
30   0x0008f8e0 0x0048f8e0 32  33   .rodata ascii   Failed to create request handler
31   0x0008f904 0x0048f904 21  22   .rodata ascii   Registering method %s
32   0x0008f91c 0x0048f91c 18  19   .rodata ascii   Clearing endpoints
33   0x0008f930 0x0048f930 16  17   .rodata ascii   Method not found
34   0x0008f944 0x0048f944 23  24   .rodata ascii   Invalid request handler
35   0x0008f95c 0x0048f95c 20  21   .rodata ascii   Invalid request type
36   0x0008f974 0x0048f974 22  23   .rodata ascii   Invalid transport type
37   0x0008f98c 0x0048f98c 11  12   .rodata ascii   server.info
38   0x0008f998 0x0048f998 12  13   .rodata ascii   server.test2
39   0x0008f9a8 0x0048f9a8 12  13   .rodata ascii   server.test3
40   0x0008f9b8 0x0048f9b8 12  13   .rodata ascii   server.test4
41   0x0008f9c8 0x0048f9c8 12  13   .rodata ascii   printer.test
42   0x0008f9e0 0x0048f9e0 29  30   .rodata ascii   section, key or value is null
43   0x0008fa00 0x0048fa00 127 128  .rodata ascii   /var/jenkins_home/workspace/IngenicX2600-security-build/integrated_platform/creality/output/build/nexusprime/src/confighelper.c
44   0x0008fa80 0x0048fa80 41  42   .rodata ascii   Memory allocation for section_dict failed
45   0x0008faac 0x0048faac 4   5    .rodata ascii   %.*s
46   0x0008fab4 0x0048fab4 40  41   .rodata ascii   config, section or section_value is null
47   0x0008fae0 0x0048fae0 32  33   .rodata ascii   Memory allocation for tmp failed
48   0x0008fb10 0x0048fb10 19  20   .rodata ascii   current_key is null
49   0x0008fb24 0x0048fb24 4   20   .rodata utf32le []",
50   0x0008fb38 0x0048fb38 22  23   .rodata ascii   ig or filename is null
51   0x0008fb50 0x0048fb50 24  25   .rodata ascii   config file %s not exist
52   0x0008fb70 0x0048fb70 28  29   .rodata ascii   Error opening config file %s
53   0x0008fb90 0x0048fb90 5   6    .rodata ascii   #[#]#
54   0x0008fb98 0x0048fb98 40  41   .rodata ascii   Error allocating memory for section name
