0x00403810    2 92           entry0
0x0040c5c4    8 260          sym.on_connected
0x0040c6c8   26 924          sym.on_iceconnectionstatechange
0x0040ca64    1 16           sym.on_icecandidate
0x0040cca8    6 232          sym.signal_handler
0x0040cd90    7 168          sym.release_pc_session.part.2
0x0040ce38    9 228          sym.close_wrtc_session.part.3
0x0040def0   11 488          sym.usr_signal_handler
0x00403870    4 52           sym.deregister_tm_clones
0x004038a4    4 76           sym.register_tm_clones
0x004038f0    3 56           sym.__do_global_dtors_aux
0x00403928    1 8            entry.init0
0x00404700    3 44           sym.nice_agent_bio_ctrl
0x0040472c    1 68           sym.nice_agent_bio_create
0x00416f10    1 16           fcn.00416f10
0x004165d0    1 16           fcn.004165d0
0x00416380    1 16           fcn.00416380
0x00404770    5 84           sym.nice_agent_bio_free
0x004169d0    1 16           fcn.004169d0
0x00416b00    1 16           fcn.00416b00
0x004047c4    5 96           sym.nice_agent_bio_write
0x00416460    1 16           fcn.00416460
0x00404930    3 52           sym.peer_connection_component_state_chanaged_cb
0x00404964    1 12           sym.peer_connection_new_selected_pair_full_cb
0x00404970   26 1300         sym.peer_connection_candidate_gathering_done_cb
0x004051f0   11 232          sym.peer_connection_ice_recv_cb
0x00406140    3 44           sym.rtcp_packet_validate
0x00404118    3 32           sym.dtls_transport_validate
0x00404150   26 1272         sym.dtls_transport_incomming_msg
0x00416c20    1 16           fcn.00416c20
0x00416650    1 16           fcn.00416650
0x00416980    1 16           fcn.00416980
0x00416400    1 16           fcn.00416400
0x00416ec0    1 16           fcn.00416ec0
0x00416840    1 16           fcn.00416840
0x00416820    1 16           fcn.00416820
0x00416d60    1 16           fcn.00416d60
0x00416e40    1 16           fcn.00416e40
0x00416340    1 16           fcn.00416340
0x00416510    1 16           fcn.00416510
0x004167d0    1 16           fcn.004167d0
0x00416930    1 16           fcn.00416930
0x004164e0    1 16           fcn.004164e0
0x004168a0    1 16           fcn.004168a0
0x00416a80    1 16           fcn.00416a80
0x00416310    1 16           fcn.00416310
0x00416110    1 16           fcn.00416110
0x00404138    3 24           sym.dtls_transport_get_srtp_initialized
0x00406330    3 44           sym.rtp_packet_validate
0x00404648    2 74104 -> 24   sym.dtls_transport_decrypt_rtp_packet
0x00404650    2 72688 -> 24   sym.dtls_transport_decrypt_rtcp_packet
0x0040511c    6 212          sym.peer_connection_incomming_rtcp
0x00406db0    6 272  -> 236  sym.update_icesig
0x00406f28   10 600          sym.connect_client
0x00407180    1 140          sym.HAL_GetDeviceName.part.0
0x00407720    3 248  -> 188  sym.callback_http
0x004085b8   28 1268         sym.GetRegisterInfoFromFile.part.1
0x0040a994    3 484  -> 208  sym.callback
0x004117e8    4 288          sym.get_cpu_usage.part.1
0x004116d0    6 280          sym.get_cpu_time_v1
0x004166d0    1 16           fcn.004166d0
0x00416640    1 16           fcn.00416640
0x00416cf0    1 16           fcn.00416cf0
0x00416a30    1 16           fcn.00416a30
0x00416fb0    1 16           fcn.00416fb0
0x00416870    1 16           fcn.00416870
0x004166a0    1 16           fcn.004166a0
0x00416ee0    1 16           fcn.00416ee0
0x00416d10    1 16           fcn.00416d10
0x004168c0    1 16           fcn.004168c0
0x004120a0    1 8            sym.h264_packetizer_free
0x004120a8    1 36           sym.h264_packetizer_packet
0x00405d64    7 216          sym.peer_connection_send_rtp_packet
0x004120cc   10 308          sym.h264_packetizer_alloc
0x00403544    3 60           sym._init
0x004160a0    1 32           sym._PROCEDURE_LINKAGE_TABLE_
0x00410ff4    1 8            sym.webrtc_ipcsem_get
0x00409570    6 248          sym.wsocket_init
0x00416d30    1 16           fcn.00416d30
0x00409328   15 584          sym.get_ver_info
0x00416430    1 16           fcn.00416430
0x00416d50    1 16           fcn.00416d50
0x004046a0    5 64           sym.media_stream_add_track
0x004052d8    5 612          sym.peer_connection_nice_agent_setup
0x00416420    1 16           fcn.00416420
0x00416af0    1 16           fcn.00416af0
0x00416ef0    1 16           fcn.00416ef0
0x00416370    1 16           fcn.00416370
0x00416a40    1 16           fcn.00416a40
0x00416830    1 16           fcn.00416830
0x00416ad0    1 16           fcn.00416ad0
0x00416700    1 16           fcn.00416700
