0x00402150    2 92           entry0
0x004044c0    3 68           sym.print_usage
0x004021b0    4 52           sym.deregister_tm_clones
0x004021e4    4 76           sym.register_tm_clones
0x00402230    3 56           sym.__do_global_dtors_aux
0x00402268    1 8            entry.init0
0x00402270    3 28           sym.hs_ui_task_init
0x0040228c    4 40           sym.hs_ui_task_destory
0x004022b4    6 76           sym.hs_ui_msg_handle
0x00402380    3 204          sym.hs_ui_vectorp_msgpush
0x00415890    1 16           fcn.00415890
0x004152e0    1 16           fcn.004152e0
0x004150f0    1 16           fcn.004150f0
0x0040244c    1 108          sym.hs_ui_vectorp_sendmsg_transition
0x00415560    1 16           fcn.00415560
0x00402c00   17 616          sym.hs_ui_vectorp_ipcmsg_send_dispose
0x004060e0   23 576          sym.hs_log_push
0x004158a0    1 16           fcn.004158a0
0x00402560    9 308          sym.hs_ui_vectorp_init
0x00402694   45 1092         sym.hs_ui_vectorp_task_handle
0x00403520    4 40           sym.hs_printer_task_init
0x00403548    4 40           sym.hs_printer_task_destory
0x00403570    3 52           sym.hs_printer_msg_handle
0x00403630    1 8            sym.hs_printer_klipper_msgpush
0x00403638    3 104          sym.hs_printer_klipper_close
0x00415840    1 16           fcn.00415840
0x004036a0    3 72           sym.hs_printer_klipper_destory
0x00415200    1 16           fcn.00415200
0x004036e8    3 172          sym.hs_printer_klipper_activate
0x004154e0    1 16           fcn.004154e0
0x00404d78   12 424          sym.hs_activate_insert
0x004153a0    1 16           fcn.004153a0
0x004155b0    1 16           fcn.004155b0
0x00415410    1 16           fcn.00415410
0x00403ab8   16 484          sym.hs_printer_klipper_event
0x00403794   26 804          sym.hs_printer_klipper_connet
0x00403c9c    6 284          sym.hs_printer_klipper_init
0x00403f00   14 188          sym.hs_printer_klipper_json_search
0x00403fbc   26 572          sym.hs_printer_klipper_recv_route.isra.0
0x004052a0   16 196          sym.hs_json_search
0x00406780    5 68           sym.hs_timer_remove
0x00407470   35 864          sym.hs_hal_cam_get_info_list
0x004079b0   26 392          sym.hs_hal_lcd_backlight
0x00407b38   25 824          sym.hs_hal_lcd_get_info
0x00407ed0    6 72           sym.hs_hal_led_ctrl
0x00407f90    5 64           sym.hs_hal_powerloss_close
0x00407fd0    8 276          sym.hs_hal_powerloss_shutdown
0x004080e4   15 580          sym.hs_hal_powerloss_event_handle
0x004086e0    3 56           sym.hs_hal_uvent_close
0x00408718   19 448          sym.hs_hal_uevent_handle
0x00408b30    7 108          sym.hs_hal_uvc_update
0x00408b9c  103 2612         sym.hs_hal_uvc_scan
0x004096c0   20 604          sym.hs_hal_video_entity_event
0x0040991c   23 444          sym.hs_hal_video_entity_close
0x0040c640   54 1488         sym.hs_worker_upgrade_handle
0x0040cce0   11 216          sym.hs_worker_ai_close
0x0040cdb8   26 660          sym.hs_worker_open_video_ai
0x0040aad8   20 256          sym.hs_hal_video_power
0x0040a9a4   15 252          sym.hs_hal_video_open
0x00415460    1 16           fcn.00415460
0x00415240    1 16           fcn.00415240
0x0040a8ac   10 248          sym.hs_hal_video_check_iscap
0x00415320    1 16           fcn.00415320
0x0040a698   16 532          sym.hs_hal_video_get_fmt
0x0040a474   13 548          sym.hs_hal_video_set_fmt
0x0040a360   11 276          sym.hs_hal_video_set_streamparm
0x00409ef0   29 1136         sym.hs_hal_video_start
0x004154b0    1 16           fcn.004154b0
0x00415650    1 16           fcn.00415650
0x00404c50   17 296          sym.hs_activate_remove
0x00409c38    4 132          sym.hs_hal_video_insert_bugle
