
Relocation section '.rel.dyn' at offset 0x1810 contains 4 entries:
 Offset     Info    Type            Sym.Value  Sym. Name
00000000  00000000 R_MIPS_NONE      
00425b00  0000137e R_MIPS_COPY       00425b00   stderr@GLIBC_2.0
00425b04  00005b7e R_MIPS_COPY       00425b04   stdout@GLIBC_2.0
00425b08  0000807e R_MIPS_COPY       00425b08   optarg@GLIBC_2.0

Relocation section '.rel.plt' at offset 0x1830 contains 125 entries:
 Offset     Info    Type            Sym.Value  Sym. Name
004258c0  0000017f R_MIPS_JUMP_SLOT  00000000   setsockopt@GLIBC_2.0
004258c4  0000027f R_MIPS_JUMP_SLOT  00000000   pthread_mutex_unlock@GLIBC_2.0
004258c8  0000037f R_MIPS_JUMP_SLOT  00000000   setitimer@GLIBC_2.0
004258cc  0000047f R_MIPS_JUMP_SLOT  00000000   strstr@GLIBC_2.0
004258d0  0000057f R_MIPS_JUMP_SLOT  00000000   sem_wait@GLIBC_2.2
004258d4  0000067f R_MIPS_JUMP_SLOT  00000000   cJSON_IsNull
004258d8  0000077f R_MIPS_JUMP_SLOT  00000000   strcmp@GLIBC_2.0
004258dc  0000097f R_MIPS_JUMP_SLOT  00000000   sem_post@GLIBC_2.2
004258e0  00000a7f R_MIPS_JUMP_SLOT  00000000   read@GLIBC_2.0
004258e4  00000b7f R_MIPS_JUMP_SLOT  00000000   pthread_mutex_destroy@GLIBC_2.0
004258e8  00000d7f R_MIPS_JUMP_SLOT  00000000   printf@GLIBC_2.0
004258ec  00000e7f R_MIPS_JUMP_SLOT  00000000   __isoc99_fscanf@GLIBC_2.7
004258f0  00000f7f R_MIPS_JUMP_SLOT  00000000   pthread_attr_destroy@GLIBC_2.0
004258f4  0000107f R_MIPS_JUMP_SLOT  00000000   fflush@GLIBC_2.0
004258f8  0000117f R_MIPS_JUMP_SLOT  00000000   fopen@GLIBC_2.2
004258fc  0000127f R_MIPS_JUMP_SLOT  00000000   cJSON_IsNumber
00425900  0000147f R_MIPS_JUMP_SLOT  00000000   _exit@GLIBC_2.0
00425904  0000157f R_MIPS_JUMP_SLOT  00000000   memmove@GLIBC_2.0
00425908  0000167f R_MIPS_JUMP_SLOT  00000000   free@GLIBC_2.0
0042590c  0000177f R_MIPS_JUMP_SLOT  00000000   memcpy@GLIBC_2.0
00425910  0000187f R_MIPS_JUMP_SLOT  00000000   shm_open@GLIBC_2.2
00425914  0000197f R_MIPS_JUMP_SLOT  00000000   fgets@GLIBC_2.0
00425918  00001a7f R_MIPS_JUMP_SLOT  00000000   pthread_mutex_init@GLIBC_2.0
0042591c  00001c7f R_MIPS_JUMP_SLOT  00000000   time@GLIBC_2.0
00425920  00001d7f R_MIPS_JUMP_SLOT  00000000   cJSON_Delete
00425924  00001e7f R_MIPS_JUMP_SLOT  00000000   signal@GLIBC_2.0
00425928  00001f7f R_MIPS_JUMP_SLOT  00000000   lseek@GLIBC_2.0
0042592c  0000207f R_MIPS_JUMP_SLOT  00000000   gettimeofday@GLIBC_2.0
00425930  0000217f R_MIPS_JUMP_SLOT  00000000   sleep@GLIBC_2.0
00425934  0000227f R_MIPS_JUMP_SLOT  00000000   msgctl@GLIBC_2.2
00425938  0000237f R_MIPS_JUMP_SLOT  00000000   sem_close@GLIBC_2.2
0042593c  0000247f R_MIPS_JUMP_SLOT  00000000   cJSON_Parse
00425940  0000257f R_MIPS_JUMP_SLOT  00000000   pthread_mutex_lock@GLIBC_2.0
00425944  0000267f R_MIPS_JUMP_SLOT  00000000   unlink@GLIBC_2.0
00425948  0000277f R_MIPS_JUMP_SLOT  00000000   localtime_r@GLIBC_2.0
0042594c  0000287f R_MIPS_JUMP_SLOT  00000000   getsockopt@GLIBC_2.0
00425950  0000297f R_MIPS_JUMP_SLOT  00000000   ioctl@GLIBC_2.0
00425954  00002a7f R_MIPS_JUMP_SLOT  00000000   __xstat@GLIBC_2.0
00425958  00002b7f R_MIPS_JUMP_SLOT  00000000   accept@GLIBC_2.0
0042595c  00002c7f R_MIPS_JUMP_SLOT  00000000   cJSON_GetArraySize
00425960  00002d7f R_MIPS_JUMP_SLOT  00000000   fwrite@GLIBC_2.0
00425964  00002e7f R_MIPS_JUMP_SLOT  00000000   msgrcv@GLIBC_2.0
00425968  00002f7f R_MIPS_JUMP_SLOT  00000000   strcat@GLIBC_2.0
0042596c  0000307f R_MIPS_JUMP_SLOT  00000000   strcpy@GLIBC_2.0
