[Imports]
nth vaddr      bind   type   lib name
―――――――――――――――――――――――――――――――――――――
1   0x004087f8 GLOBAL FUNC       lws_client_connect_via_info
2   0x00408808 GLOBAL FUNC       sym.imp.std::basic_istream<char, std::char_traits<char> >& std::operator>><char, std::char_traits<char> >(std::basic_istream<char, std::char_traits<char> >&, char&)
3   0x00408818 GLOBAL FUNC       sym.imp.std::basic_istream<char, std::char_traits<char> >& std::getline<char, std::char_traits<char>, std::allocator<char> >(std::basic_istream<char, std::char_traits<char> >&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, char)
5   0x00408828 GLOBAL FUNC       sym.imp.std::basic_ifstream<char, std::char_traits<char> >::~basic_ifstream()
7   0x00408838 GLOBAL FUNC       sym.imp.std::__throw_out_of_range_fmt(char const*, ...)
9   0x00408848 GLOBAL FUNC       sym.imp.std::__throw_logic_error(char const*)
10  0x0046f600 GLOBAL FUNC       __libc_start_main
11  0x00408868 GLOBAL FUNC       __cxa_begin_catch
12  0x00408878 GLOBAL FUNC       sym.imp.cv::cvtColor(cv::_InputArray const&, cv::_OutputArray const&, int, int)
15  0x00408888 GLOBAL FUNC       sym.imp.std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_mutate(unsigned int, unsigned int, char const*, unsigned int)
16  0x00408898 GLOBAL FUNC       __udivdi3
17  0x004088a8 GLOBAL FUNC       sym.imp.Json::Value::toStyledString[abi:cxx11]() const
18  0x004088b8 GLOBAL FUNC       sym.imp.std::__throw_bad_alloc()
19  0x004088c8 GLOBAL FUNC       sym.imp.operator new[](unsigned int)
21  0x004088d8 GLOBAL FUNC       __isoc99_sscanf
26  0x004088e8 GLOBAL FUNC       lws_callback_on_writable
28  0x004088f8 GLOBAL FUNC       v4l2_h264_decoder_close
30  0x00000000 WEAK   NOTYPE     _ITM_deregisterTMCloneTable
36  0x00408908 GLOBAL FUNC       tcsetattr
37  0x00408918 GLOBAL FUNC       udev_device_get_parent_with_subsystem_devtype
38  0x00408928 GLOBAL FUNC       udev_enumerate_add_match_subsystem
39  0x00408938 GLOBAL FUNC       pthread_mutex_lock
40  0x00408948 GLOBAL FUNC       sym.imp.std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::find(char const*, unsigned int, unsigned int) const
41  0x00408958 GLOBAL FUNC       sym.imp.std::__throw_invalid_argument(char const*)
43  0x00408968 GLOBAL FUNC       cfsetospeed
46  0x00408978 GLOBAL FUNC       sym.imp.std::_Sp_locker::_Sp_locker(void const*)
48  0x00408988 GLOBAL FUNC       sym.imp.cv::CommandLineParser::CommandLineParser(int, char const* const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
51  0x00408998 GLOBAL FUNC       sym.imp.JsonValue::operator=(JsonValue&&)
54  0x004089a8 GLOBAL FUNC       exit
55  0x004089b8 GLOBAL FUNC       lws_write
57  0x004089c8 GLOBAL FUNC       sym.imp.std::basic_filebuf<char, std::char_traits<char> >::close()
59  0x004089d8 GLOBAL FUNC       sym.imp.Json::CharReaderBuilder::newCharReader() const
60  0x004089e8 GLOBAL FUNC       close
62  0x004089f8 GLOBAL FUNC       sym.imp.Json::Value::~Value()
63  0x00408a08 GLOBAL FUNC       memcpy
65  0x00408a18 GLOBAL FUNC       memmove
67  0x00408a28 GLOBAL FUNC       strncpy
68  0x00408a38 GLOBAL FUNC       udev_new
69  0x00408a48 GLOBAL FUNC       sym.imp.Log::Error(char const*, int, char const*, ...)
72  0x00408a58 GLOBAL FUNC       sym.imp.cv::Mat::Mat()
73  0x00408a68 GLOBAL FUNC       lws_create_context
74  0x00408a78 GLOBAL FUNC       lws_ring_get_element
75  0x00408a88 GLOBAL FUNC       fgets
77  0x00408a98 GLOBAL FUNC       sym.imp.std::runtime_error::runtime_error(char const*)
78  0x00408aa8 GLOBAL FUNC       sym.imp.cv::Mat::Mat(int, int, int, void*, unsigned int)
83  0x0046f860 GLOBAL FUNC       isspace
84  0x00408ac8 GLOBAL FUNC       open
86  0x00408ad8 GLOBAL FUNC       sym.imp.cv::Mat::operator=(cv::Mat&&)
87  0x00408ae8 GLOBAL FUNC       sym.imp.Json::Value::begin() const
88  0x00408af8 GLOBAL FUNC       usleep
89  0x00408b08 GLOBAL FUNC       sym.imp.std::__throw_regex_error(std::regex_constants::error_type)
90  0x00408b18 GLOBAL FUNC       sym.imp.std::__cxx11::collate<char> const& std::use_facet<std::__cxx11::collate<char> >(std::locale const&)
91  0x00408b28 GLOBAL FUNC       sym.imp.Json::Value::isString() const
92  0x00408b38 GLOBAL FUNC       sym.imp.std::thread::join()
93  0x00408b48 GLOBAL FUNC       sym.imp.cv::Mat::~Mat()
94  0x00408b58 GLOBAL FUNC       pthread_mutex_init
96  0x00408b68 GLOBAL FUNC       sym.imp.cv2d::deleteFilesbyDirs(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
98  0x00408b78 GLOBAL FUNC       sym.imp.std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::replace(unsigned int, unsigned int, char const*, unsigned int)
99  0x00408b88 GLOBAL FUNC       sym.imp.Json::operator<<(std::ostream&, Json::Value const&)
102 0x00408b98 GLOBAL FUNC       sym.imp.std::ostream::operator<<(int)
104 0x00408ba8 GLOBAL FUNC       lws_ring_update_oldest_tail
105 0x00408bb8 GLOBAL FUNC       sym.imp.std::__throw_bad_cast()
109 0x00408bc8 GLOBAL FUNC       __cxa_bad_cast
110 0x00408bd8 GLOBAL FUNC       gettimeofday
111 0x00408be8 GLOBAL FUNC       lws_ring_insert
112 0x00408bf8 GLOBAL FUNC       lws_service
113 0x00408c08 GLOBAL FUNC       __cxa_guard_acquire
115 0x00408c18 GLOBAL FUNC       __fxstat
116 0x00408c28 GLOBAL FUNC       sym.imp.AI_Engine::getVersion[abi:cxx11]()
117 0x00408c38 GLOBAL FUNC       sym.imp.Log::Warn(char const*, int, char const*, ...)
120 0x00408c48 GLOBAL FUNC       sym.imp.std::basic_ios<char, std::char_traits<char> >::init(std::basic_streambuf<char, std::char_traits<char> >*)
121 0x00408c58 GLOBAL FUNC       sym.imp.operator delete[](void*)
123 0x00408c68 GLOBAL FUNC       udev_unref
124 0x00408c78 GLOBAL FUNC       shm_unlink
125 0x00408c88 GLOBAL FUNC       sym.imp.JsonValue::JsonValue(JsonValue&&)
126 0x00408c98 GLOBAL FUNC       fclose
130 0x00408ca8 GLOBAL FUNC       sym.imp.std::__cxx11::basic_stringstream<char, std::char_traits<char>, std::allocator<char> >::~basic_stringstream()
132 0x00408cb8 GLOBAL FUNC       sym.imp.Json::StreamWriterBuilder::StreamWriterBuilder()
134 0x00408cc8 GLOBAL FUNC       __cxa_allocate_exception
135 0x00408cd8 GLOBAL FUNC       sym.imp.std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::reserve(unsigned int)
136 0x00408ce8 GLOBAL FUNC       sym.imp.std::__cxx11::basic_stringbuf<char, std::char_traits<char>, std::allocator<char> >::str() const
138 0x00408cf8 GLOBAL FUNC       SHA256_Final
139 0x00408d08 GLOBAL FUNC       sym.imp.std::thread::_State::~_State()
141 0x00408d18 GLOBAL FUNC       sym.imp.Json::Value::Value(Json::Value const&)
142 0x00408d28 GLOBAL FUNC       sym.imp.std::__throw_system_error(int)
143 0x00408d38 GLOBAL FUNC       __cxa_guard_abort
145 0x00408d48 GLOBAL FUNC       sym.imp.Json::ValueIteratorBase::increment()
147 0x00408d58 GLOBAL FUNC       sym.imp.std::ctype<char> const& std::use_facet<std::ctype<char> >(std::locale const&)
148 0x00408d68 GLOBAL FUNC       mmap
149 0x00408d78 GLOBAL FUNC       sym.imp.cv::Mat::Mat(int, int, int)
151 0x00408d88 GLOBAL FUNC       sym.imp.Json::Value::operator=(Json::Value const&)
152 0x00408d98 GLOBAL FUNC       sym.imp.std::__cxx11::basic_stringstream<char, std::char_traits<char>, std::allocator<char> >::basic_stringstream(std::_Ios_Openmode)
154 0x0046fb50 GLOBAL FUNC       strtod
157 0x00408db8 GLOBAL FUNC       sym.imp.Json::Value::operator[](char const*) const
158 0x00408dc8 GLOBAL FUNC       udev_device_new_from_syspath
160 0x00408dd8 GLOBAL FUNC       strlen
162 0x00408de8 GLOBAL FUNC       sym.imp.std::__cxx11::basic_istringstream<char, std::char_traits<char>, std::allocator<char> >::basic_istringstream(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::_Ios_Openmode)
164 0x00408df8 GLOBAL FUNC       getrusage
165 0x00408e08 GLOBAL FUNC       sym.imp.std::ctype<char>::_M_widen_init() const
166 0x00408e18 GLOBAL FUNC       sym.imp.AI_Engine::updateFlowPAFile(FlowParameters&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
167 0x00408e28 GLOBAL FUNC       sym.imp.std::_Rb_tree_decrement(std::_Rb_tree_node_base*)
168 0x00408e38 GLOBAL FUNC       __divdi3
169 0x00408e48 GLOBAL FUNC       sym.imp.Json::writeString[abi:cxx11](Json::StreamWriter::Factory const&, Json::Value const&)
170 0x00408e58 GLOBAL FUNC       udev_enumerate_unref
173 0x00408e68 GLOBAL FUNC       v4l2_h264_decoder_work
175 0x00408e78 GLOBAL FUNC       sym.imp.std::ostream::flush()
176 0x00408e88 GLOBAL FUNC       lws_cancel_service
178 0x00408e98 GLOBAL FUNC       sym.imp.cv2d::createDirectories(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
179 0x00408ea8 GLOBAL FUNC       sym.imp.std::ostream& std::ostream::_M_insert<unsigned long>(unsigned long)
184 0x00408eb8 GLOBAL FUNC       sym.imp.std::__basic_file<char>::~__basic_file()
186 0x00408ec8 GLOBAL FUNC       sym.imp.Json::Value::isMember(char const*) const
187 0x00408ed8 GLOBAL FUNC       sym.imp.std::locale::operator=(std::locale const&)
188 0x00408ee8 GLOBAL FUNC       sym.imp.Log::Info(char const*, int, char const*, ...)
189 0x00408ef8 GLOBAL FUNC       printf
191 0x00408f08 GLOBAL FUNC       sym.imp.Json::Value::Value(Json::ValueType)
192 0x00408f18 GLOBAL FUNC       sym.imp.operator delete(void*)
194 0x00408f28 GLOBAL FUNC       sym.imp.std::ostream::put(char)
196 0x00408f38 GLOBAL FUNC       sym.imp.Json::Value::asInt() const
